Countries,Type,Amount 
Niger,Balance2019,-906
Democratic Republic of the Congo,Balance2020,-887
Belize,Balance2016,-881
Niger,Balance2020,-881
"Bonaire, Sint Eustatius and Saba",Balance2018,-863
Sierra Leone,Balance2020,-845
British Virgin Islands,Balance2017,-839
British Virgin Islands,Balance2018,-828
Saint Kitts and Nevis,Balance2016,-817
"Bonaire, Sint Eustatius and Saba",Balance2019,-734
Saint Vincent and the Grenadines,Balance2016,-726
Saint Kitts and Nevis,Balance2017,-714
Saint Vincent and the Grenadines,Balance2018,-709
"Bonaire, Sint Eustatius and Saba",Balance2017,-703
Belize,Balance2017,-698
Saint Vincent and the Grenadines,Balance2019,-672
Saint Vincent and the Grenadines,Balance2017,-624
South Sudan,Balance2016,-614
Belize,Balance2020,-602
Samoa,Balance2020,-600
Sudan (before 2012),Balance2020,-581
Liberia,Balance2017,-574
Anguilla,Balance2017,-561
Chad,Balance2020,-560
Belize,Balance2018,-532
Saint Lucia,Balance2020,-467
Northern Mariana Islands,Balance2018,-459
Uganda,Balance2020,-455
Antigua and Barbuda,Balance2020,-453
Turks and Caicos Islands,Balance2019,-432
Turks and Caicos Islands,Balance2016,-409
Cook Islands,Balance2018,-382
Saint Kitts and Nevis,Balance2019,-379
Turks and Caicos Islands,Balance2018,-374
Solomon Islands,Balance2017,-370
Kiribati,Balance2020,-361
Palau,Balance2016,-350
Sint Maarten (Dutch part),Balance2018,-349
Cook Islands,Balance2016,-347
South Sudan,Balance2019,-343
Anguilla,Balance2018,-326
Palau,Balance2017,-325
Northern Mariana Islands,Balance2016,-310
Palau,Balance2018,-300
Solomon Islands,Balance2018,-300
Vanuatu,Balance2016,-290
"Bonaire, Sint Eustatius and Saba",Balance2016,-289
Demo. Rep. Korea,Balance2020,-287
Dominica,Balance2019,-280
Turks and Caicos Islands,Balance2017,-273
Liberia,Balance2020,-270
Solomon Islands,Balance2016,-259
Vanuatu,Balance2019,-259
Dominica,Balance2016,-254
Gambia,Balance2020,-235
Wallis and Futuna Islands,Balance2019,-218
South Sudan,Balance2017,-218
Anguilla,Balance2019,-213
Vanuatu,Balance2020,-212
Northern Mariana Islands,Balance2017,-206
Turks and Caicos Islands,Balance2020,-206
Cook Islands,Balance2019,-203
St. Pierre and Miquelon,Balance2018,-196
Saint Vincent and the Grenadines,Balance2020,-192
Guam,Balance2016,-183
St. Pierre and Miquelon,Balance2016,-170
Samoa,Balance2018,-168
Kiribati,Balance2018,-167
Gambia,Balance2018,-164
Marshall Islands,Balance2017,-163
St. Pierre and Miquelon,Balance2017,-162
Dominica,Balance2020,-160
Central African Republic,Balance2017,-157
Samoa,Balance2019,-157
Tonga,Balance2018,-153
South Sudan,Balance2018,-152
St. Pierre and Miquelon,Balance2020,-150
Solomon Islands,Balance2019,-146
Samoa,Balance2016,-142
Kiribati,Balance2019,-139
Guam,Balance2018,-138
Guam,Balance2019,-137
British Virgin Islands,Balance2020,-136
Sao Tome and Principe,Balance2018,-135
Tonga,Balance2017,-134
Saint Kitts and Nevis,Balance2018,-134
Anguilla,Balance2020,-131
Saint Kitts and Nevis,Balance2020,-130
Sao Tome and Principe,Balance2016,-129
Tonga,Balance2019,-127
Guinea-Bissau,Balance2017,-126
Sint Maarten (Dutch part),Balance2016,-125
Sao Tome and Principe,Balance2017,-125
Guinea-Bissau,Balance2018,-124
St. Pierre and Miquelon,Balance2019,-123
Samoa,Balance2017,-123
Federated States of Micronesia,Balance2020,-122
Dominica,Balance2018,-112
Cook Islands,Balance2020,-111
French Southern and Antarctic Territories,Balance2018,-108
Sao Tome and Principe,Balance2020,-108
British Indian Ocean Territory,Balance2017,-108
British Indian Ocean Territory,Balance2016,-105
Sint Maarten (Dutch part),Balance2017,-104
Sao Tome and Principe,Balance2019,-104
Gambia,Balance2019,-103
Central African Republic,Balance2019,-101
Gambia,Balance2017,-91
Kiribati,Balance2017,-90
Wallis and Futuna Islands,Balance2016,-89
Guam,Balance2017,-87
Central African Republic,Balance2018,-86
Tonga,Balance2020,-86
Gambia,Balance2016,-86
Central African Republic,Balance2020,-79
Guinea-Bissau,Balance2016,-76
Eritrea,Balance2018,-75
Solomon Islands,Balance2020,-75
Northern Mariana Islands,Balance2019,-74
Comoros,Balance2019,-73
Eritrea,Balance2019,-71
Kiribati,Balance2016,-70
Montserrat,Balance2018,-69
Comoros,Balance2018,-69
Tuvalu,Balance2016,-64
Norfolk Island,Balance2016,-64
Wallis and Futuna Islands,Balance2017,-62
Comoros,Balance2016,-61
American Samoa,Balance2017,-61
Comoros,Balance2017,-60
Comoros,Balance2020,-59
French Southern and Antarctic Territories,Balance2019,-53
Nauru,Balance2018,-50
Vanuatu,Balance2017,-48
Marshall Islands,Balance2018,-46
Falkland Islands,Balance2016,-46
Nauru,Balance2017,-46
Nauru,Balance2020,-45
Christmas Island,Balance2019,-44
Falkland Islands,Balance2020,-43
Dominica,Balance2017,-43
Falkland Islands,Balance2017,-41
Federated States of Micronesia,Balance2019,-41
Wallis and Futuna Islands,Balance2018,-39
Sint Maarten (Dutch part),Balance2019,-36
Christmas Island,Balance2018,-36
American Samoa,Balance2016,-36
French Southern and Antarctic Territories,Balance2017,-34
Christmas Island,Balance2017,-34
Wallis and Futuna Islands,Balance2020,-32
Marshall Islands,Balance2019,-31
Northern Mariana Islands,Balance2020,-26
Norfolk Island,Balance2020,-26
Niue,Balance2020,-25
Marshall Islands,Balance2016,-25
Marshall Islands,Balance2020,-25
Nauru,Balance2016,-25
Norfolk Island,Balance2019,-24
Tuvalu,Balance2018,-23
Tuvalu,Balance2019,-22
Falkland Islands,Balance2018,-21
Federated States of Micronesia,Balance2018,-21
Saint Helena,Balance2018,-17
Norfolk Island,Balance2018,-15
French Southern and Antarctic Territories,Balance2016,-14
Montserrat,Balance2020,-14
Saint Helena,Balance2016,-13
Guam,Balance2020,-12
Vanuatu,Balance2018,-12
Montserrat,Balance2016,-11
Niue,Balance2018,-11
Palau,Balance2020,-10
Niue,Balance2019,-10
Niue,Balance2016,-9
Norfolk Island,Balance2017,-9
Saint Helena,Balance2017,-8
Eritrea,Balance2017,-8
Christmas Island,Balance2016,-8
Niue,Balance2017,-8
Palau,Balance2019,-7
Pitcairn,Balance2019,-5
American Samoa,Balance2018,-4
Eritrea,Balance2016,-3
Christmas Island,Balance2020,-3
Montserrat,Balance2017,-3
Eritrea,Balance2020,-2
American Samoa,Balance2019,-2
Tuvalu,Balance2017,-1
Tuvalu,Balance2020,-1
Montserrat,Balance2019,-1
Central African Republic,Balance2016,-1
Federated States of Micronesia,Balance2017,-1
Tokelau,Balance2019,0
Federated States of Micronesia,Balance2016,0
Afghanistan,Balance2016,0
Tuvalu,Imported2020,1
Christmas Island,Exported2020,1
Solomon Islands,Exported2020,1
Tonga,Exported2020,1
Sao Tome and Principe,Exported2020,1
Anguilla,Exported2020,1
Dominica,Exported2020,1
Saint Vincent and the Grenadines,Exported2020,1
Grenada,Exported2020,1
Timor-Leste,Exported2020,1
Cayman Islands,Exported2020,1
Western Sahara,Balance2016,1
Cocos (Keeling) Islands,Balance2017,1
Pitcairn,Balance2017,1
Cocos (Keeling) Islands,Balance2018,1
Saint Helena,Balance2020,2
Eritrea,Imported2020,2
Saint Kitts and Nevis,Exported2020,2
Liberia,Exported2020,2
Antigua and Barbuda,Exported2020,2
Sierra Leone,Exported2020,2
Yemen,Exported2020,2
Western Sahara,Balance2018,2
Montserrat,Exported2020,3
Bahamas,Exported2020,3
Gabon,Exported2020,3
Djibouti,Exported2020,3
Saint Helena,Imported2020,4
Christmas Island,Imported2020,4
Nauru,Balance2019,4
Federated States of Micronesia,Exported2020,4
Papua New Guinea,Exported2020,4
Western Sahara,Balance2017,4
British Indian Ocean Territory,Balance2019,4
"Bonaire, Sint Eustatius and Saba",Exported2020,5
Bolivia,Exported2020,5
Saint Helena,Exported2020,6
Chad,Exported2020,6
Cook Islands,Exported2020,7
Bhutan,Exported2020,7
Cocos (Keeling) Islands,Balance2019,7
Zimbabwe,Exported2020,8
Comoros,Exported2020,9
Belize,Exported2020,9
Suriname,Exported2020,9
Palau,Imported2020,10
Tokelau,Balance2016,11
Greenland,Exported2020,11
Guyana,Exported2020,11
Faroe Islands,Exported2020,11
Afghanistan,Exported2020,11
Burundi,Exported2020,11
Ethiopia,Exported2020,11
Guam,Imported2020,12
Samoa,Exported2020,14
Tokelau,Balance2018,15
Somalia,Exported2020,15
Saint Lucia,Exported2020,16
Mozambique,Exported2020,16
Montserrat,Imported2020,17
New Caledonia,Exported2020,17
Burkina Faso,Exported2020,18
Gibraltar,Exported2020,18
Tokelau,Balance2020,19
Tokelau,Exported2020,19
Niue,Imported2020,25
Marshall Islands,Imported2020,25
Cuba,Exported2020,25
Northern Mariana Islands,Imported2020,26
Norfolk Island,Imported2020,26
Libya,Exported2020,28
Wallis and Futuna Islands,Imported2020,32
Guinea,Exported2020,35
Eswatini,Exported2020,36
British Virgin Islands,Balance2019,37
Sudan,Exported2020,37
Azerbaijan,Exported2020,38
Lao PDR,Exported2020,40
Oman,Exported2020,42
Saint Helena,Balance2019,43
Falkland Islands,Imported2020,43
Cook Islands,Balance2017,44
Nauru,Imported2020,45
Mali,Exported2020,46
French Southern and Antarctic Territories,Imported2020,48
Sint Maarten (Dutch part),Balance2020,52
Sint Maarten (Dutch part),Imported2020,54
Turks and Caicos Islands,Exported2020,54
Angola,Exported2020,55
Vanuatu,Exported2020,58
Barbados,Exported2020,61
Comoros,Imported2020,68
Madagascar,Exported2020,69
Tokelau,Balance2017,71
Solomon Islands,Imported2020,76
Venezuela,Exported2020,76
Malawi,Exported2020,78
Bahrain,Exported2020,78
Central African Republic,Imported2020,79
Algeria,Exported2020,80
Iraq,Exported2020,80
Tonga,Imported2020,87
Haiti,Exported2020,93
Botswana,Exported2020,99
Sint Maarten (Dutch part),Exported2020,106
Sao Tome and Principe,Imported2020,109
Nepal,Exported2020,110
Maldives,Exported2020,116
Cook Islands,Imported2020,118
Federated States of Micronesia,Imported2020,126
Saint Kitts and Nevis,Imported2020,132
Anguilla,Imported2020,132
Syria,Exported2020,139
Republic of Congo,Exported2020,146
St. Pierre and Miquelon,Imported2020,150
Dominica,Imported2020,161
Nicaragua,Exported2020,161
Niger,Exported2020,165
Brunei Darussalam,Exported2020,182
Uzbekistan,Exported2020,186
Saint Vincent and the Grenadines,Imported2020,193
Benin,Exported2020,194
Honduras,Exported2020,225
Gambia,Imported2020,235
French Southern and Antarctic Territories,Balance2020,249
Rwanda,Exported2020,257
Turks and Caicos Islands,Imported2020,260
Mauritius,Exported2020,261
Vanuatu,Imported2020,270
Liberia,Imported2020,272
French Southern and Antarctic Territories,Exported2020,297
Mongolia,Exported2020,297
Demo. Rep. Korea,Exported2020,314
Andorra,Exported2020,316
Montenegro,Exported2020,360
Kiribati,Imported2020,361
Nigeria,Exported2020,362
Uruguay,Exported2020,393
Bangladesh,Exported2020,401
Curaçao,Exported2020,454
Antigua and Barbuda,Imported2020,455
Saint Lucia,Imported2020,483
Namibia,Exported2020,489
Cameroon,Exported2020,514
Democratic Republic of the Congo,Exported2020,527
Kenya,Balance2016,555
Chad,Imported2020,566
Sudan (before 2012),Imported2020,581
Demo. Rep. Korea,Imported2020,601
Trinidad and Tobago,Exported2020,602
Belize,Imported2020,611
Samoa,Imported2020,614
Zambia,Exported2020,626
Qatar,Exported2020,689
Ecuador,Exported2020,715
Paraguay,Exported2020,730
Kenya,Balance2019,751
Niger,Balance2018,755
British Virgin Islands,Exported2020,758
Lesotho,Exported2020,765
Jamaica,Exported2020,766
United States Minor Outlying Islands,Balance2020,815
Kyrgyzstan,Exported2020,844
Sierra Leone,Imported2020,847
British Virgin Islands,Imported2020,894
Armenia,Exported2020,903
Kenya,Balance2018,940
Myanmar,Exported2020,944
Albania,Exported2020,984
Niger,Balance2016,998
Grenada,Imported2020,1005
Cabo Verde,Imported2020,1009
Kenya,Balance2017,1033
Niger,Imported2020,1046
Togo,Balance2020,1086
Seychelles,Imported2020,1152
Equatorial Guinea,Imported2020,1190
Georgia,Exported2020,1191
"Bonaire, Sint Eustatius and Saba",Imported2020,1198
Iran,Exported2020,1210
Mauritania,Imported2020,1218
Suriname,Imported2020,1296
Democratic Republic of the Congo,Imported2020,1414
Timor-Leste,Imported2020,1433
Syria,Imported2020,1453
Papua New Guinea,Imported2020,1461
Niger,Balance2017,1519
Bosnia and Herzegovina,Exported2020,1546
Guinea-Bissau,Imported2020,1638
Cambodia,Exported2020,1646
El Salvador,Exported2020,1697
South Sudan,Imported2020,1708
Cuba,Imported2020,1749
Greenland,Imported2020,1749
Free Zones,Balance2020,1768
Bhutan,Imported2020,1782
United States Minor Outlying Islands,Imported2020,1950
Cayman Islands,Imported2020,2069
Aruba,Exported2020,2108
Saudi Arabia,Exported2020,2131
Kazakhstan,Exported2020,2231
Somalia,Imported2020,2238
Kenya,Balance2020,2273
Togo,Imported2020,2285
Moldova,Exported2020,2317
Republic of Congo,Imported2020,2357
Malta,Exported2020,2387
Mozambique,Imported2020,2408
Tajikistan,Imported2020,2411
Ghana,Exported2020,2419
Madagascar,Imported2020,2420
Guyana,Imported2020,2561
Free Zones,Imported2020,2573
Bahamas,Imported2020,2608
Burkina Faso,Imported2020,2632
United States Minor Outlying Islands,Exported2020,2765
Cameroon,Balance2018,2775
Cameroon,Balance2017,2782
Gabon,Imported2020,2883
French Polynesia,Exported2020,3041
Faroe Islands,Imported2020,3099
Gibraltar,Imported2020,3110
Malawi,Imported2020,3260
Lesotho,Imported2020,3320
Togo,Exported2020,3371
Bermuda,Imported2020,3425
Djibouti,Imported2020,3486
Fiji,Exported2020,3608
India,Balance2020,3616
Sri Lanka,Exported2020,3695
Free Zones,Balance2019,3766
Benin,Imported2020,3947
Afghanistan,Imported2020,3949
Barbados,Imported2020,4055
Turkmenistan,Imported2020,4145
Burundi,Imported2020,4158
French Polynesia,Imported2020,4216
Aruba,Imported2020,4268
Jamaica,Imported2020,4270
Free Zones,Exported2020,4341
Macedonia,Exported2020,4365
Maldives,Imported2020,4395
Fiji,Imported2020,4542
Rwanda,Imported2020,4845
Cameroon,Balance2016,4944
Uganda,Balance2016,5048
Kuwait,Exported2020,5422
Tanzania,Balance2016,5561
Curaçao,Imported2020,5677
Eswatini,Imported2020,5788
Zimbabwe,Imported2020,5908
Ethiopia,Imported2020,5940
Slovenia,Balance2016,6258
Sudan,Imported2020,6404
Sri Lanka,Imported2020,6427
Free Zones,Balance2018,6481
Costa Rica,Exported2020,6634
Cameroon,Imported2020,6671
Free Zones,Balance2016,6793
Venezuela,Imported2020,6956
New Caledonia,Imported2020,6962
Zambia,Imported2020,7134
Senegal,Imported2020,7337
Haiti,Imported2020,7388
Mali,Imported2020,7776
Tanzania,Exported2020,7783
Cyprus,Exported2020,8103
Côte d'Ivoire,Imported2020,8172
Tunisia,Exported2020,8686
Yemen,Imported2020,9133
Free Zones,Balance2017,9305
Tanzania,Balance2017,9372
Kenya,Imported2020,9430
Iceland,Exported2020,10438
Angola,Imported2020,10917
Brunei Darussalam,Imported2020,10981
Uganda,Exported2020,11020
Lebanon,Balance2020,11131
Trinidad and Tobago,Imported2020,11151
Uganda,Imported2020,11475
Kenya,Exported2020,11703
Tanzania,Imported2020,12435
Kyrgyzstan,Imported2020,12462
Ghana,Imported2020,12814
Iran,Imported2020,12874
Montenegro,Imported2020,12954
Pakistan,Exported2020,13084
Malta,Imported2020,13252
Peru,Exported2020,13325
Luxembourg,Balance2020,13326
Panama,Exported2020,13758
Mauritius,Imported2020,14471
Uzbekistan,Imported2020,14650
Bahrain,Imported2020,14656
Guinea,Imported2020,15367
Nicaragua,Imported2020,15689
Luxembourg,Balance2019,16664
Uruguay,Imported2020,16947
Macedonia,Imported2020,16975
Oman,Imported2020,17182
Honduras,Imported2020,17718
Paraguay,Imported2020,18013
Cambodia,Imported2020,18366
Morocco,Exported2020,18808
Albania,Imported2020,18939
Luxembourg,Balance2016,19180
Colombia,Balance2020,19291
Ghana,Balance2016,19371
Pakistan,Imported2020,19425
Luxembourg,Balance2018,19998
Armenia,Imported2020,20279
Côte d'Ivoire,Balance2020,20338
Moldova,Imported2020,20756
Jordan,Exported2020,20778
Nepal,Imported2020,22067
Senegal,Balance2016,22092
Spain,Balance2019,22184
Guatemala,Exported2020,23106
Libya,Imported2020,23510
Iceland,Imported2020,23602
Philippines,Exported2020,23604
Bolivia,Imported2020,23748
Mongolia,Imported2020,23902
Andorra,Imported2020,24133
Egypt,Exported2020,24257
Dominican Republic,Exported2020,25249
India,Balance2017,25491
Serbia,Exported2020,25838
Azerbaijan,Imported2020,26254
Lebanon,Imported2020,26293
Luxembourg,Balance2017,26414
Senegal,Balance2017,26939
Czech Republic,Balance2020,27154
Botswana,Imported2020,27754
Côte d'Ivoire,Exported2020,28510
Bangladesh,Imported2020,28722
Namibia,Imported2020,29327
Lao PDR,Imported2020,30333
Chile,Exported2020,30355
El Salvador,Imported2020,31137
Georgia,Imported2020,31695
United Kingdom,Balance2020,33387
Tunisia,Imported2020,33620
Norway,Exported2020,35428
Finland,Exported2020,35479
Colombia,Balance2016,36806
Nigeria,Imported2020,36806
Egypt,Imported2020,36890
Netherlands,Balance2018,36904
Lebanon,Exported2020,37424
Ukraine,Exported2020,38730
South Africa,Balance2019,38906
Ghana,Balance2017,39075
Bosnia and Herzegovina,Imported2020,39778
Myanmar,Imported2020,40439
Dominican Republic,Imported2020,41214
Romania,Exported2020,41337
Cyprus,Imported2020,42657
United Arab Emirates,Balance2018,42978
Togo,Balance2016,43224
"Macao, China",Exported2020,43679
Senegal,Balance2018,45040
Senegal,Balance2019,45273
Colombia,Balance2019,48153
Togo,Balance2017,48347
Jordan,Imported2020,48922
South Africa,Balance2016,49891
Colombia,Balance2017,50765
Costa Rica,Imported2020,51866
Tanzania,Balance2018,51976
Senegal,Balance2020,52732
Colombia,Balance2018,53353
Guatemala,Imported2020,54563
India,Balance2016,55014
Portugal,Exported2020,55768
Estonia,Exported2020,56047
Argentina,Exported2020,56788
Belarus,Exported2020,58566
Algeria,Imported2020,59082
Senegal,Exported2020,60069
Togo,Balance2018,60258
Latvia,Exported2020,60793
South Africa,Balance2017,62320
Slovakia,Exported2020,64496
South Africa,Balance2018,64619
New Zealand,Exported2020,66008
Serbia,Imported2020,67806
Latvia,Imported2020,68659
Ecuador,Imported2020,68979
Estonia,Imported2020,69728
Togo,Balance2019,70252
Iraq,Imported2020,70739
Netherlands,Balance2019,71899
Bulgaria,Exported2020,73786
Netherlands,Balance2020,75506
Luxembourg,Imported2020,76453
Belgium,Balance2016,76660
Belarus,Imported2020,77811
Brazil,Exported2020,78632
Bulgaria,Imported2020,80304
Israel,Balance2016,85161
Panama,Imported2020,85261
Morocco,Imported2020,87477
Slovenia,Exported2020,89372
Luxembourg,Exported2020,89779
Slovenia,Imported2020,92732
Viet Nam,Exported2020,92770
Peru,Imported2020,93625
Belgium,Balance2017,93768
Croatia,Exported2020,97074
Argentina,Imported2020,98064
Kuwait,Imported2020,109848
Indonesia,Exported2020,109872
Kazakhstan,Imported2020,112283
South Africa,Balance2020,115636
Qatar,Imported2020,117569
Malaysia,Exported2020,119755
Israel,Balance2017,121827
United States,Balance2016,122241
Colombia,Imported2020,123991
Israel,Imported2020,124327
Israel,Balance2019,124831
Israel,Balance2020,125453
Philippines,Imported2020,129942
Côte d'Ivoire,Balance2016,133367
Spain,Balance2020,134975
Ireland,Exported2020,136044
Israel,Balance2018,136284
Finland,Imported2020,136729
India,Imported2020,138216
India,Exported2020,141832
Colombia,Exported2020,143282
Côte d'Ivoire,Balance2019,144969
Côte d'Ivoire,Balance2017,148537
Croatia,Imported2020,152348
South Africa,Imported2020,154696
United Arab Emirates,Exported2020,160550
United Arab Emirates,Balance2019,160910
Lithuania,Exported2020,161998
Brazil,Imported2020,163158
Côte d'Ivoire,Balance2018,165299
Chile,Imported2020,174963
Viet Nam,Imported2020,175625
Hungary,Exported2020,175771
Slovakia,Imported2020,178809
Greece,Exported2020,180177
New Zealand,Imported2020,194539
Lithuania,Imported2020,195553
Ukraine,Imported2020,211412
Greece,Imported2020,213928
Turkey,Exported2020,214315
Austria,Exported2020,227454
Romania,Imported2020,230596
Hungary,Imported2020,230789
Portugal,Imported2020,235564
Israel,Exported2020,249780
Russian Federation,Exported2020,254050
Turkey,Imported2020,255681
Indonesia,Imported2020,257134
South Africa,Exported2020,270332
Sweden,Exported2020,274389
Denmark,Exported2020,283190
Ireland,Imported2020,292126
Norway,Imported2020,301231
Denmark,Imported2020,322238
Mexico,Exported2020,325158
Malaysia,Imported2020,349168
Switzerland,Balance2016,369003
Taiwan,Exported2020,411688
United States,Balance2017,417444
United States,Balance2018,425832
Austria,Imported2020,432172
Sweden,Imported2020,438807
Mexico,Imported2020,479306
Australia,Exported2020,512963
Poland,Balance2017,523036
Switzerland,Imported2020,531540
United Arab Emirates,Imported2020,538758
Poland,Balance2016,562308
Switzerland,Balance2017,585777
Thailand,Exported2020,586503
United States,Balance2020,593531
Saudi Arabia,Imported2020,596594
Thailand,Imported2020,615330
World,Balance2018,621599
World,Balance2017,669973
Poland,Balance2019,775721
Australia,Imported2020,788231
Poland,Balance2018,789372
Italy,Balance2016,818466
Czech Republic,Imported2020,822155
Japan,Balance2016,822642
Italy,Balance2020,823764
Czech Republic,Exported2020,849309
Taiwan,Imported2020,851244
Switzerland,Balance2018,870932
Republic of Korea,Imported2020,883261
World,Balance2019,906406
Italy,Balance2017,922167
Switzerland,Balance2019,929276
Poland,Balance2020,933821
Germany,Balance2017,963356
Spain,Imported2020,969456
Germany,Balance2016,982899
United States,Balance2019,987572
Italy,Imported2020,1004423
Netherlands,Imported2020,1007904
Russian Federation,Imported2020,1015589
Poland,Imported2020,1020515
Canada,Exported2020,1065430
Netherlands,Exported2020,1083410
Belgium,Exported2020,1094545
Spain,Exported2020,1104431
Singapore,Balance2016,1104503
Switzerland,Balance2020,1106649
Italy,Balance2019,1107364
Italy,Balance2018,1137071
Belgium,Imported2020,1155366
Germany,Balance2018,1159084
Germany,Balance2020,1175327
Germany,Balance2019,1214765
Japan,Imported2020,1388820
Japan,Balance2017,1393379
Canada,Imported2020,1408225
Switzerland,Exported2020,1638189
Singapore,Balance2017,1655255
France,Imported2020,1700858
Italy,Exported2020,1828187
Poland,Exported2020,1954336
United Kingdom,Imported2020,2007047
United Kingdom,Exported2020,2040434
China,Exported2020,2177567
Germany,Imported2020,2186539
Singapore,Balance2018,2324770
"Macao, China",Imported2020,2358495
Republic of Korea,Balance2016,2491548
Japan,Balance2018,2508248
Japan,Balance2019,2887906
Singapore,Imported2020,2894321
Republic of Korea,Balance2017,2913895
Singapore,Balance2019,3053634
Singapore,Balance2020,3341770
Germany,Exported2020,3361866
Republic of Korea,Balance2018,3859659
Japan,Balance2020,3872159
"Hong Kong, China",Exported2020,4076475
Republic of Korea,Balance2019,4289310
United States,Imported2020,4488306
United States,Exported2020,5081837
Republic of Korea,Balance2020,5232173
Japan,Exported2020,5260979
France,Balance2016,5772428
Republic of Korea,Exported2020,6115434
Singapore,Exported2020,6236091
France,Balance2017,6826712
"Hong Kong, China",Imported2020,7234182
France,Balance2020,7249903
France,Balance2018,7623363
France,Balance2019,7982568
France,Exported2020,8950761
China,Imported2020,17335751
World,Exported2020,60484795
World,Imported2020,63963836